Id,uid,company_name,company_description,company_industry,company_address,company_website
1610,http://www.fccsingapore.com/membership/directory/account/1610,ASCENDER HCM ASIA PTE LTD,"
With more than 1.3 million employees of our customers being paid using Ascender’s HR/payroll...
",ABC,"
                    5 Temasek Boulevard, 
#15-05 Suntec Tower Five
                    SINGAPORE 
                    038985
",https://www.ascenderhcm.com/
1472,http://www.fccsingapore.com/membership/directory/account/1472,ASENDIA SINGAPORE LTD,"
Formed in July 2012 as a joint venture between La Poste and Swiss Post, Asendia is one of the...
",ABC,"
                    40 Alps Avenue, #07-02
                    SINGAPORE 
                    498781
",http://www.asendia.sg
1685,http://www.fccsingapore.com/membership/directory/account/1685,ASHENFELD HOLDING PTE LTD,"
Premium clothing...
",ABC,"
                    Chinatown
People's Park Centre
101 Upper Cross Street 
#05-16
                    SINGAPORE 
                    058357
",http://www.ashenfeld.com
1416,http://www.fccsingapore.com/membership/directory/account/1416,ASIA DEAL GROUP,"
Asia Deal Group incubates and accelerates young startups in Singapore and...
",ABC,"
                    192 Waterloo Street, #05-01 Skyline building
                    SINGAPORE 
                    187966
",http://www.asiadealgroup.com
1240,http://www.fccsingapore.com/membership/directory/account/1240,ASIA INFRARED SYSTEMS PTE LTD,"
HGH Infrared Systems capitalises on over 30 years of success in infrared technologies for security,...
",ABC,"
                    541 Orchard Road 
#09-01 Liat Towers
                    SINGAPORE 
                    238881
",http://www.asia-infrared.com
1640,http://www.fccsingapore.com/membership/directory/account/1640,ASIA RISK MANAGEMENT INSTITUTE PTE LTD,"
ARiMI is the leading professional education & certification body for governance, risk, compliance,...
",ABC,"
                    3 Temasek Avenue
#21-00 Centennial Tower
                    SINGAPORE 
                    039190
",https://arimi.org
52,http://www.fccsingapore.com/membership/directory/account/52,ASIAN TIGERS MOBILITY,"
Asian Tigers Mobility provides a comprehensive end-to-end mobility service tailored to meet your...
",ABC,"
                    6  Lok Yang Way
                    SINGAPORE 
                    628625
",http://www.asiantigers-mobility.com
1517,http://www.fccsingapore.com/membership/directory/account/1517,ASIATIS TRANSLATION,"
Founded in 2000, Asiatis is among the leading translation agencies specialising in Asian languages,...
",ABC,"
                    541 Orchard Road, 
#09-01 Liat Towers
                    SINGAPORE 
                    238881
",http://asiatis.com.sg
1450,http://www.fccsingapore.com/membership/directory/account/1450,ASK A FRENCH - FLOWERS,"
""Ask a French - Flowers"" takes its inspiration from the beauty of wild nature and classic still...
",ABC,"

                     
                    
",http://www.askafrenchflowers.com/
1214,http://www.fccsingapore.com/membership/directory/account/1214,ASTEK SINGAPORE,"
Astek has been providing IT and engineering solutions for some of the world’s largest industrial...
",ABC,"
                    16 Raffles Quay 
#38-03
                    SINGAPORE 
                    048581
",http://www.asteksingapore.com
1664,http://www.fccsingapore.com/membership/directory/account/1664,ASTERYOS,"
Asteryos is an international consulting firm specialized in innovation funding for more than 7...
",ABC,"
                    2 Allée Gustave Eiffel
                    Bruz 
                    35170
",http://www.asteryos.com/
1107,http://www.fccsingapore.com/membership/directory/account/1107,ASTRIS ASIA PACIFIC PTE LIMITED,"
Astris is a leading investment and transaction financial advisory firm, with unmatched expertise in...
",ABC,"
                    137 Market Street
Level 6
                    SINGAPORE 
                    048943
",http://www.astrisfinance.com
1604,http://www.fccsingapore.com/membership/directory/account/1604,ATEQ PTE. LTD.,"
Measuring Instruments, Leak Testing, Flow Testing, Aircraft Manufacturing and Maintenance Test...
",ABC,"
                    38 Jalan Pemimpin 
#08-06
                    SINGAPORE 
                    577178
",http://www.ateq.com
1213,http://www.fccsingapore.com/membership/directory/account/1213,ATHEN DEVELOPMENT PTE LTD,"
Aerospace and Defence Business Development 

ATHEN Development was created and incorporated in...
",ABC,"
                    27 Mount Faber Road
#07-05 Mount Faber Lodge
                    SINGAPORE 
                    099200
",
55,http://www.fccsingapore.com/membership/directory/account/55,ATOS INFORMATION TECHNOLOGY (SINGAPORE) PTE LTD,"
Atos is a global leader in digital transformation with 120,000 employees in 73 countries and annual...
",ABC,"
                    988 Toa Payoh North 
#08-01
                    SINGAPORE 
                    319002
",http://atos.net/asia pacific
1467,http://www.fccsingapore.com/membership/directory/account/1467,AUREXIA PTE LTD,"
Aurexia is a global management consultancy, with offices in London, Paris, Luxembourg and Asia,...
",ABC,"
                    96 Robinson Road 11-04 SIF Building
                    SINGAPORE 
                    068899
",http://www.aurexia.com/en
1468,http://www.fccsingapore.com/membership/directory/account/1468,AUREXIA PTE LTD,"
Aurexia is a global management consultancy, with offices in London, Paris, Luxembourg and Asia,...
",ABC,"
                    96 Robinson Road 11-04 SIF Building
                    SINGAPORE 
                    068899
",http://www.aurexia.com/en
1469,http://www.fccsingapore.com/membership/directory/account/1469,AUREXIA PTE LTD,"
Aurexia is a global management consultancy, with offices in London, Paris, Luxembourg and Asia,...
",ABC,"
                    96 Robinson Road 11-04 SIF Building
                    SINGAPORE 
                    068899
",http://www.aurexia.com/en
1470,http://www.fccsingapore.com/membership/directory/account/1470,AUREXIA PTE LTD,"
Aurexia is a global management consultancy, with offices in London, Paris, Luxembourg and Asia,...
",ABC,"
                    96 Robinson Road 11-04 SIF Building
                    SINGAPORE 
                    068899
",http://www.aurexia.com/en
1471,http://www.fccsingapore.com/membership/directory/account/1471,AUREXIA PTE LTD,"
Aurexia is a global management consultancy, with offices in London, Paris, Luxembourg and Asia,...
",ABC,"
                    6 Raffles Quay 
#16-01
                    SINGAPORE 
                    048580
",http://www.aurexia.com/en
606,http://www.fccsingapore.com/membership/directory/account/606,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED - SINGAPORE BRANCH,"
ANZ Singapore

ANZ was established in Singapore in 1974. We have built a strong presence in the...
",ABC,"
                    10 Collyer Quay 
#30-00 Ocean Financial Centre  
                    SINGAPORE 
                    049315
",http://www.anz.com/singapore
1452,http://www.fccsingapore.com/membership/directory/account/1452,AVIATION PARTNER & CONSULTING PTE LTD,"
Based in Seletar Aerospace Park and warehouse located in Changi International Airport Free Trade...
",ABC,"
                    66 Seletar Aerospace View
#02-07 WOA Aviation Hangar 66
                    SINGAPORE 
                    797509
",http://www.apacasia.com
1218,http://www.fccsingapore.com/membership/directory/account/1218,AXA DIL @ ASIA PTE LTD,"
Objective of the lab is to drive AXA towards a tech-led company by leveraging data and emerging...
",ABC,"
                    8 Shenton Way, 
#13-02 AXA Tower
                    SINGAPORE 
                    068811
",
59,http://www.fccsingapore.com/membership/directory/account/59,AXA INSURANCE PTE LTD,"
AXA Insurance is part of the AXA group, a worldwide leader in insurance and asset management, and...
",ABC,"
                    8 Shenton Way 
#24-01 AXA Tower
                    SINGAPORE 
                    068811
",http://www.axa.com.sg
1354,http://www.fccsingapore.com/membership/directory/account/1354,AXON CONNECT PTE LTD,"
Axon is specialized in design and manufacturing cables, connectors and assemblies for high tech...
",ABC,"
                    50 Gambas Crescent, Proxima @ Gambas 
#08-08
                    SINGAPORE 
                    757022
",http://www.axon-cable.com
1666,http://www.fccsingapore.com/membership/directory/account/1666,AXXESSBIO PTE LTD,"
Founded in 2011, AxxessBio brings innovative therapies, diagnostics, medical devices and equipment...
",ABC,"
                    36 Purvis Street 
#02-05
                    SINGAPORE 
                    188613
",http://www.axxessbio.com
60,http://www.fccsingapore.com/membership/directory/account/60,B P SOLUTIONS PTE LTD,"
B P Solutions Pte Ltd is a corporate service provider with offices in Singapore and Philippines...
",ABC,"
                    16 Raffles Quay 
#38-03 Hong Leong Building
                    SINGAPORE 
                    048581
",http://www.bpsolutions.com.sg
1341,http://www.fccsingapore.com/membership/directory/account/1341,B+H ARCHITECTS (SINGAPORE) PTE LTD,"
Founded in 1953, B+H Architects is a global, award-winning, full-service architecture and design...
",ABC,"
                    100 Beach Road 
#32-01/03 Shaw Towers
                    SINGAPORE CITY 
                    189702
",www.bharchitects.com/en
1579,http://www.fccsingapore.com/membership/directory/account/1579,B-DNA PTE. LTD,"
Established in 2014, B-DNA is a Singapore-registered design firm founded by five leading Belgian...
",ABC,"
                    8 Eu Tong Sen Street, 
#16-90 The Central
                    SINGAPORE 
                    059818
",http://www.b-dna.asia
1586,http://www.fccsingapore.com/membership/directory/account/1586,B.TIN,"
b.tin is a provider of social sustainability services to private companies, public and non-profit...
",ABC,"
                    28C Stanley Street
                    SINGAPORE 
                    068737
",http://www.b-tin.com
